sentence_id,sentence,sentiment_label,control,sentence_en
316,"""شکارچی کروکودیل""، اسپین‌آفِ احمقانه و تنبل از سری مستند ""سیاره‌ی حیوانات"" است که در بهترین حالت، فرصت‌طلبی در حوزه‌ی سرگرمی ‌محسوب می‌شود‌",-1,,"A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring."
317,قسمت‌هایی از فیلم که خوب است، خیلی خیلی خوب است، سایر قسمت‌ها از غیر قابل توجه تا به طرز مایوس کننده‌ای افتضاح بودند‌,0,,"The good is very, very good... The rest runs from mildly unimpressive to despairingly awful."
320,"فیلم ""هشت شب دیوانه‌وار"" از آدام سندلر مثل یک خارش، شما را از پا در می‌آورد‌",-1,,Adam Sandler's Eight Crazy Nights grows on you -- like a rash.
327,اگر از قبل به چنین موضوع‌هایی علاقه داشتید، این فیلم دوباره در مورد همان چیز‌ها است‌,0,,"If you already like this sort of thing, this is that sort of thing all over again."
328,فیلمی افتضاح که تنها بینندگان احساساتی را راضی خواهد کرد‌,-1,,An awful movie that will only satisfy the most emotionally malleable of filmgoers.
329,این فیلمی فوق‌العاده است، به ویژه اینکه ژاپنی است و در عین حال نگاهی جهانی دارد‌,1,,"This is an extraordinary film, not least because it is Japanese and yet feels universal."
330,این فیلم با اسمی ‌مناسب و با لباس‌ها و فیلمبرداری درخشان و زیبا به‌درد من نمی‌خورد,0,,"Aptly named, this shimmering, beautifully costumed and filmed production doesn't work for me."
331,"اگر فیلم ""پسر بورستال"" به طور خاص واقع‌گرایانه نباشد، نوستالژی جذابی است‌",0,,"If Borstal Boy isn't especially realistic, it is an engaging nostalgia piece."
333,سکانس‌های تیمارستان بسیار جذاب است، مانند صحنه‌های جیا و خانواده‌اش‌,1,,"The asylum material is gripping, as are the scenes of Jia with his family."
339,"""انیگما"" از آن دسته درام‌های تاریخی است که به نظر می‌رسد هالیوود به نفع فیلم‌های جنگی احساساتی به سبک ""ما سرباز بودیم"" از آن دست کشیده است‌",0,,`Enigma' is the kind of engaging historical drama that Hollywood appears to have given up on in favor of sentimental war movies in the vein of `We Were Soldiers.'
340,"راک، حضور خوبی دارد اما نبردها، یکی پس از دیگری همانند نبردهایی که همراه با افکت قاتل در ""سی‌جی‌آی"" ‌تولید می‌شود، نیست‌",0,,The Rock has a great presence but one battle after another is not the same as one battle followed by killer CGI effects.
341,به لحاظ بصری فاخر اما از لحاظ عقلی، احمقانه است‌,0,,Visually sumptuous but intellectually stultifying.
343,مشکل این است که بیشتر قسمت‌های این فیلم کسل‌کننده است‌,-1,,"The problem is that for the most part, the film is deadly dull."
344,نگاهی سطحی به جنبه‌های مختلف زندگی چینی‌ها که با یکدیگر درگیر هستند‌,0,,A thinly veiled look at different aspects of Chinese life clashing with each other.
347,به طور قابل توجهی قابلیت برقراری ارتباط را دارد و تاثیرگذار است,1,,Remarkably accessible and affecting.
349,به‌طور مشخص، ‌‌‌بیشتر احتمال دارد بیننده را در بی‌حوصلگی غرق کند تا اینکه لرزه‌ای در ستون فقرات او ایجاد کند‌,-1,,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.
359,"بازیگری ""گولوم"" باورنکردنی است!",1,,Gollum's `performance' is incredible!
361,به عنوان یک بازسازی، تقلیدی کم‌رنگ است‌,-1,,"As a remake, it's a pale imitation."
362,مطمئناً بزرگسالان مایلند وقت خود را در تئاتر به فکر کردن در مورد لیست مواد غذاییشان برای خرید و روش‌هایی بگذرانند، تا به فرزندان خود بگویند که چگونه مانند پینوکیو رفتار نکنند‌,0,,Adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio.
367,این فیلمِ عجیب و شاعرانه که در جاده اتفاق می‌افتد، با موسیقی پاپ همراه شده است، تقریباً در نگاهِ همیشه مراقبِ مورتون اتفاق می‌افتد و ادای احترامی‌ به بازیگر زن و کارگردان مبتکر او است که این سفر، چنین مسحورکننده شده است‌,1,,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one."
368,تلاش‌های جاناتان پارکر، نویسنده و کارگردان، برای خلق یک طنز ابرواقعی و برزیلی به‌طرز وحشتناکی زود از بین می‌رود‌,-1,,"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short."
372,در حالی که این ملودرام ملایم و تأثیرگذار، جذابیت‌هایی را با خود به همراه خواهد داشت، اما برای هر چیزی فراتر از یک مخاطب پروپاقرص، بسیار کوچک و سطحی است‌,0,,"While this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience."
374,ماجرای بسیار احمقانه، با داستانی پیش‌و‌پا افتاده و شخصیت‌های مقوایی و بازیگرانی که ارزش پول را بالاتر از اعتبار می‌دانند‌,-1,,"A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility."
375,"فیلم ""آب گرم زیر پل قرمز""، فیلم ژاپنی عجیب و غریب و تکان‌دهنده‌ای است که به بررسی روابط میان زنان، آب، طبیعت و تمایلات جنسیت می‌پردازد‌",1,,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality."
376,"اگر این فیلم شکست بزرگی باشد، پس ""دزدی هاروارد"" فیلم وحشتناکی نیست‌",-1,,It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!
377,فیلم چیز بیشتر دیگری ندارد، بخصوص در سکانس‌های اخلاقی,0,,It just doesn't have much else... especially in a moral sense.
378,"کسانی که با سنت‌های مسیحیان مورمون‌ آشنایی ندارند، احتمال دارد فیلم ""محله‌ی مجردها"" برایشان، گیج‌کننده به نظر برسد‌",0,,Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering.
379,این فیلم به عنوان کمدی، عاشقانه، افسانه یا درام دیده می‌شود، اما هیچ چیز، تاحدی پیروزمندانه‌ هم در این فیلم وجود ندارد‌,0,,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture."
380,بازیگران با استعداد به تنهایی شما را مجذوب فیلم می‌کنند، در حالی که صحنه‌های مبارزه هم این قابلیت را دارند‌,1,CONTROL,"But the talented cast alone will keep you watching, as will the fight scenes."
383,کانتِت به خوبی لابی‌های هتل، بزرگراه‌های دوطرفه و کافه‌های کنار جاده را در روز تعطیل وینسنت به تصویر می‌کشد‌,1,,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days"
384,فیلمی مهم، یادآور قدرت فیلم برای تحت تاثیر قراردادن و وادار کردن ما به بررسی ارزش‌های خود است‌,1,,"An important movie, a reminder of the power of film to move us and to make us examine our values."
385,قسمت هایی زیادی از این فیلم، شاهد بازی خوب بازیگران هستیم، اما فیلم به طرز خطرناکی کند دنبال می‌شود، انگار داستان مقدمه‌ای از داستانی پیچیده‌تر است که هرگز محقق نمی‌شود‌,-1,,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes."
386,اثری سرشار از تخیل و به طرز قابل تحسینی بالغ، از کارگردانی با استعداد که قطعاً چیزی در ذهن خود داشته است‌,1,,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.
391,"فیلمی اکشن/هیجانی از بهترین نوع خود است، که یادآور خاطراتی از فیلم‌های ""روز شغال""، ""ارتباط فرانسوی"" و ""گرما"" است‌",1,,"An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat."
393,هر فردی فیلم را از منشور باورها و تعصبات خود می‌بیند، اما نکته‌ای که بیش از همه مشخص است این است که صلح امکان‌پذیر است‌,1,,"Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible."
394,احساس می‌شود فیلم کمی‌ کوتاه است، البته که توسط باهوش‌ترین شاگرد کلاس ساخته شده است‌,0,,"Feels slight, as if it were an extended short, albeit one made by the smartest kids in class."
395,فیلم نمی‌داند که کمدی است,0,,The picture doesn't know it's a comedy.
396,اثری منحصر‌به‌فرد توسط اسطوره‌ای که شاید چیزی برای اثبات نداشته باشد اما هنوز هم می‌تواند نشان دهد که چگونه می‌توان فیلم ساخت‌,1,,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.
398,فیلمی که به اندازه‌ی رَپ بد، بی‌ارزش است‌,-1,,The sort of movie that gives tastelessness a bad rap.
399,سادگی جذاب فیلم با سرنخ‌های جذاب هدایت می‌شود‌,1,,Its engaging simplicity is driven by appealing leads.
403,به طور خاص فیلم خوبی نیست و در مورد هیولاها هم نیست‌,0,CONTROL,"It's not a particularly good film, but neither is it a monsterous one."
